,missing_count,missing_pct
terrace_area,99923,99.92
has_garden,99800,99.8
terrace_count,76236,76.24
build_year,74984,74.98
has_passenger_lift,70922,70.92
floor,65879,65.88
balcony_count,61751,61.75
has_cellar,53617,53.62
site_area,45807,45.81
is_furnished,44074,44.07
area,1153,1.15
room_count,780,0.78
item_subtype,48,0.05
zipcode,0,0.0
is_new_construction,0,0.0
listing_id,0,0.0
city,0,0.0
transaction_type,0,0.0
price,0,0.0
change_date,0,0.0
start_date,0,0.0
item_type,0,0.0
description_fr,0,0.0
